School Name,School ID,School Network
Lenart Elementary Regional Gifted Center,610298,ISP
Gage Park High School,609709,Network 16
Minnie Mars Jamieson Elementary School,610011,Network 2
Chicago Technology Academy High School,400091,nan
Jacqueline B Vaughn Occupational High School,609766,Network 14
Chicago High School for the Arts (ChiArts),400022,Contract
Emmett Louis Till Math and Science Academy,610065,Network 9
North-Grand High School,609691,Network 15
Sor Juana Ines de la Cruz ES,610589,Network 8
Cesar E Chavez Multicultural Academic Center ES,610148,ISP
Acero Charter Schools - Sandra Cisneros,400101,Charter
Morgan Park High School,609725,Network 16
James Wadsworth Elementary School,610213,ISP
CICS - Wrightwood,400031,Charter
Spry Community Links High School,610357,Network 16
Daniel R Cameron Elementary School,609835,ISP
Noble - Noble College Prep,400051,Charter
Ashburn Community Elementary School,610287,Network 10
Theophilus Schmid Elementary School,610178,Network 12
Acero Charter Schools - Rufino Tamayo,400084,Charter
Eugene Field Elementary School,609918,Network 2
YCCS-Sullivan House Alternative HS,400139,Options
John Foster Dulles Elementary School,610263,AUSL
Mount Greenwood Elementary School,610082,ISP
Legacy Charter School,400049,Charter
John M Harlan Community Academy High School,609710,Network 17
Noble - Pritzker College Prep,400054,Charter
Jane A Neil Elementary School,610093,Network 12
William Rainey Harper High School,609711,Network 16
YCCS-Austin Career Education Center HS,400127,Options
Charles R Henderson Elementary School,609986,Network 11
YCCS- McKinley Lakeside Leadership HS,400124,Options
CICS - Bucktown,400025,Charter
Marcus Moziah Garvey Elementary School,610128,Network 13
Lake View High School,609719,Network 14
Walter Q Gresham Elementary School,609955,AUSL
Harriet E Sayre Elementary Language Academy,610158,Network 3
Al Raby High School,610334,Network 15
Ariel Elementary Community Academy,609951,Network 9
L.E.A.R.N. - Excel Campus,400048,Charter
Lazaro Cardenas Elementary School,610024,ISP
Durkin Park Elementary School,610352,Network 10
Medgar Evers Elementary School,610362,Network 11
L.E.A.R.N. - Hunter Perkins Campus,400111,Charter
Noble - Hansberry College Prep,400117,Charter
Franklin Elementary Fine Arts Center,609926,ISP
Richard Yates Elementary School,610234,Network 5
Francis W Parker Elementary Community Academy,610112,Network 11
Isabelle C O'Keeffe Elementary School,610103,AUSL
Carter G Woodson South Elementary School,610345,Network 9
Ira F Aldridge Elementary School,609848,Network 13
Friedrich W von Steuben Metropolitan Science HS,609737,Network 14
L.E.A.R.N. Charter School - 7th Campus,400151,Charter
Harriet Beecher Stowe Elementary School,610192,Network 5
